,texto,polaridad
228,"Cuando vi por primera vez esta película, en los años 80, me encantó.",positivo
639,Excelente producción de uno de los mejores productores de ciencia ficción Scot Vandiver.,positivo
271,No te puedes equivocar con nada de la comida aquí.,positivo
933,Kathy Bates es maravillosa en sus personajes sutil desesperación y escapismo	 una variación de su personaje en At Play In The Fields Of The Lord.,positivo
817,Saldrás del teatro con ganas de salir a bailar bajo las estrellas.,positivo
200,"El color es aún más bonito de lo que pensé, y los gráficos son increíblemente nítidos.",positivo
571,"Para resumir la película, Breeders es una película de terror terrible y barata que debe evitarse como el virus del ébola.",negativo
547,"ni siquiera un ""hola, estaremos bien contigo"".",negativo
202,John Wayne hizo un trabajo increíble por ser tan joven en la industria del cine.,positivo
548,Los postres eran un poco extraños.,negativo
949,"Tal vez es solo su comida vegetariana, pero he estado dos veces y pensé que era promedio en el mejor de los casos.",negativo
879,"Parece completamente seguro, tanto sujetando mi cinturón como manteniendo el iPhone dentro.",positivo
947,¡¡Yo estaba muy decepcionado!!,negativo
189,"También se sirvió pan caliente y mantequilla, y papas fritas caseras con trozos de tocino en la parte superior ... muy original y muy bueno.",positivo
727,"Aparte de eso, el cuero es bonito y suave	 el ajuste es muy apretado	 El corte para la cara es una buena forma.",positivo
595,"Lo que me poseía para conseguir esta basura, no tengo idea ...",negativo
37,Mal rendimiento de tiempo de conversación.,negativo
267,"Hasta ahora, solo he visitado dos veces y la comida fue absolutamente deliciosa cada vez.",positivo
965,No puedo hacer llamadas en ciertos lugares.,negativo
271,Funcionó perfectamente!,positivo
596,Todos los personajes eran divertidos y tenían la peculiaridad de no tener un verdadero personaje principal.,positivo
375,Esto es tan vergonzoso y también me duelen los oídos si trato de colocar el tapón en mi oído.,negativo
954,"Es una lástima que todos los demás involucrados no compartieran el nivel de dedicación de Crowe a la calidad, ya que si lo hicieran, tendríamos en nuestras manos una película mucho mejor que este pequeño desastre.",negativo
962,También hace que sea más fácil aferrarse a.,positivo
738,La trama tiene más agujeros que un par de medias de red y la dirección y la edición son asombrosamente puñetazos.,negativo
572,No recomendado.,negativo
213,No volveré,negativo
283,"Este lugar no es sushi de calidad, no es un restaurante de calidad.",negativo
24,Así lo realizaron.,positivo
948,Piensa que la película es como un sueño.,positivo
47,"La hamburguesa es buena carne, cocinada a la perfección.",positivo
462,"Teniendo en cuenta las relaciones fuera de la pantalla entre Taylor y Stanwyck, fue sorprendente la poca química que había en la pantalla entre los dos.",negativo
589,El área de juegos para niños es NASTY!,negativo
859,La peor comida / servicio que he tenido en mucho tiempo.,negativo
160,Volví hoy porque se mudaron y todavía no me impresionaron.,negativo
604,Construcción pobre.,negativo
690,Punishment Park es una brillante pieza de cine.,positivo
98,La representación de Ursula Burton de la monja es conmovedora y divertida al mismo tiempo sin burlarse de las monjas o de la iglesia.,positivo
469,"Se ve genial y es fuerte "".",positivo
7,Si eres propietario de Razr ... debes tener esto!,positivo
109,Pero en términos de la escritura es muy fresco y audaz.,positivo
845,"Llámame loco, pero creo que esta es una de las mejores películas de la historia.",positivo
635,Nos saludaron y nos sentamos con prontitud.,positivo
545,"Sin cambios, sin burbujas, sin pelar, ni siquiera un rasguño, ¡NADA! No podría estar más feliz con mi nuevo para el Droid.",positivo
756,Es muy conveniente y fácil de usar: hace el trabajo y hace que el viaje en auto sea mucho más suave.,positivo
823,Siguen mejorando y mejorando (esta es mi tercera y también he tenido numerosas Palms).,positivo
473,Gran software para motorolas.,positivo
973,"Este quiere surfear en la pequeña ola de películas espaciales en 1998 (Deep Impact y Armageddon), y esta falla en todas partes.",negativo
579,El presupuesto era evidentemente muy limitado.,negativo
874,¡¿Qué clase de mierda es esa ?!,negativo
288,¡Este lugar es increíble!,positivo
562,La iluminación es horrible.,negativo
69,Una gran manera de terminar un gran.,positivo
659,"Si amas la muerte y la decadencia, y las letras de Shakespears ... esta es la única.",positivo
683,"Muy buena comida, buen ambiente.",positivo
422,"Ah, y olvidé mencionar también el extraño efecto de color que tiene en tu teléfono.",negativo
594,Era un color pálido en lugar de agradable y char y no tiene sabor.,negativo
589,"Cuidado: esta no es una película de culto trashy, esto es trash -periodo!",negativo
999,"Entonces, como si no hubiera desperdiciado suficiente de mi vida allí, echaron sal en la herida extrayendo el tiempo que llevó llevar el cheque.",negativo
481,"Las facturas de Verizon, sin embargo, son difíciles de entender a pesar de que sus planes de precios son simples.",negativo
85,Los auriculares son fáciles de usar y todos los aman.,positivo
908,"Esta es una de las peores películas de Sandra Bullock desde Speed ​​2, pero no tan mala.",negativo
386,Mala calidad de sonido.,negativo
194,No me impresionó.,negativo
272,Todo sobre esta película es simplemente increíble.,positivo
418,& Esa película fue mala.,negativo
62,"Estos audífonos fueron un gran hallazgo, y creo que son quizás la mejor compra que he hecho en los últimos años, en serio.",positivo
179,"Si te gusta un zumbido fuerte para anular todas tus conversaciones, ¡este teléfono es para ti!",negativo
665,"A menos que solo sea para recopilar visualmente todas las películas existentes del trabajo de Austen, puede omitir esta.",negativo
156,"Buena calidad de construcción, a diferencia de algunos s *** baratos por ahí.",positivo
266,Gracias buena una película como esta fue hecha y lanzada.,positivo
101,"Cuidado con el comprador, usted podría tirar el dinero en el inodoro.",negativo
217,"Tampoco me gustó el botón ""on"", parecía que se rompería con el uso.",negativo
659,"Se sentía demasiado ligero y ""diminuto"".",negativo
199,"Teléfono inútil, simplemente sordo.",negativo
500,"¡También tuve que probar los panqueques de calabaza de granos múltiples de mi mamá con mantequilla de nuez y eran increíbles, esponjosos y deliciosos!",positivo
230,"Sin embargo, recientemente lo volví a ver todo en DVD, y me sorprendió completamente lo estúpida que era la trama, cómo contenía agujeros, inconsistencias y, francamente, mucha basura, y lo horrible que era el baile.",negativo
324,Estoy tan emocionada después de ver una película como esta.,positivo
930,"La comida está a la par con la de Denny's, es decir, nada buena.",negativo
691,Sonido claro y nítido.,positivo
392,"Creo que fue la mejor película de Robert Ryans, porque representó a alguien como mi padre, y fue un esquizofrénico en la vida real (mi padre), aunque nunca asesinó a nadie, pero se vio más afectado durante la Segunda Guerra Mundial, lo que lo empeoró.",positivo
810,El servidor fue muy negligente con nuestras necesidades y nos hizo sentir muy incómodos ... No recomendaría este lugar!,negativo
826,No tan bueno como esperaba.,negativo
769,"Es un efecto fresco, sutil y bastante sublime.",positivo
780,Tuve una experiencia bastante satificante.,positivo
491,"Está súper cargado para usarlo como un pequeño ordenador portátil / cámara / teléfono móvil híbrido, y sobresale en esos roles.",positivo
806,El peor de la serie.,negativo
154,Algunos aspectos destacados: ¡Gran calidad de nigiri aquí!,positivo
649,Estoy complacido.,positivo
5,Ahora me estoy enojando y quiero mi maldito pho.,negativo
325,Los guisantes de ojo negro y las batatas ... ¡NO ERAN!,positivo
643,El elenco es siempre entretenido como siempre.,positivo
371,La pantalla es excelente y la cámara es tan buena como la de ese año.,positivo
537,"Gran bistec, grandes lados, buen vino, postres increíbles.",positivo
436,La banda sonora tampoco fue terrible.,positivo
163,Funciona de maravilla	 Funciona igual que la que tengo con el teléfono.,positivo
950,Tanto Rickman como Stowe desempeñan sus papeles al máximo en esta historia de un escritor de libros para niños que ... ¿quizás? - ha escrito un tramo subversivo.,positivo
79,Hay tanta comida buena en Las Vegas que me siento engañado por perder una oportunidad de comer yendo a Rice and Company.,negativo
331,"Ambos fueron realmente increíblemente buenos, y estoy muy contento de haber regresado.",positivo
225,Me encantaron las fechas envueltas en tocino.,positivo
865,"Los personajes son interesantes, aunque un poco predecibles.",positivo
725,Siempre he usado auriculares con cable y la libertad de la conexión inalámbrica es muy útil.,positivo
949,Tuve que comprar un estuche diferente.,negativo
252,El aderezo griego era muy cremoso y sabroso.,positivo
21,¡Compré esto para usar con mi Kindle Fire y me encantó!,positivo
565,"Esta convención nunca funcionó bien en el pasado, y ciertamente no funciona aquí.",negativo
127,"Mi único problema es que pensé que el actor que interpretaba al villano era Michael Ironside, de baja renta.",negativo
277,El taco de cabra no escatimó en la carne y ¡qué sabor!,positivo
801,Por el precio esto fue una gran oferta.,positivo
166,Este lugar es sin duda uno de los mejores lugares para comer en el área metropolitana de Phoenix.,positivo
181,"Absolutamente sin mérito en ningún nivel, esto es similar a la tortura.",negativo
822,Hace mucho tiempo que no estaba entretenida con una película.,positivo
632,No tuve ningún problema con este artículo y lo pediría de nuevo si fuera necesario.,positivo
140,Que desperdicio.,negativo
461,"Victor McLaglen era incluso malo, y Brian DonLevy era casi irreconocible.",negativo
900,Gastar su dinero en otro lugar.,negativo
963,"Después de todos los comentarios favorables, no podía esperar a comer aquí ... ¡qué decepción!",negativo
455,No es bueno cuando se usa un sombrero o gafas de sol.,negativo
372,"El comedor es pequeño, pero elegantemente decorado y cómodo.",positivo
502,Duris tiene un aspecto sano y da un buen rendimiento.,positivo
575,"Entiendo que se supone que es una comedia barata de palomitas de maíz, pero eso no significa que tenga que insultar completamente nuestra inteligencia, y escribir de forma tan increíblemente trillada que roza lo ofensivo.",negativo
78,Alexander Nevsky es una gran película.,positivo
758,Una escena sobresaliente.,positivo
625,"En cualquier caso, la película falla en la mayoría de los niveles.",negativo
276,Lo disfruté mucho cuando Christopher Eccleston tomó el control de TARDIS y la continuación de la serie.,positivo
562,¡Un buen momento!,positivo
645,¡Linksys debería tener alguna forma de cambiar un teléfono defectuoso por una unidad de renovación o algo así!,negativo
746,"Manténgase alejado de esta tienda, tenga cuidado.",negativo
848,No es lo suficientemente bueno para el precio.,negativo
914,No estoy impresionado con el concepto o la comida.,negativo
62,Los cócteles son todos hechos a mano y deliciosos.,positivo
527,"Y si eso no es suficiente de una película para usted, la imagen también se ve empañada por el uso constante de los juegos de estudio y los exteriores interiores.",negativo
675,Julian Fellowes ha triunfado de nuevo.,positivo
682,Kris Kristoffersen es buena en esta película y realmente hace una diferencia.,positivo
952,Muy satisfecho con eso.,positivo
789,"Gran ambiente, servicio amable y rápido.",positivo
799,Una vez que entres te quedarás impresionado con el lugar.,positivo
186,"La comida chupaba, lo que esperábamos pero chupaba más de lo que podríamos haber imaginado.",negativo
680,Y ninguno de los tonos es aceptable.,negativo
605,Esto es exasperante.,negativo
447,Creo que el guionista hizo un buen trabajo atando los cabos sueltos.,positivo
150,Yo pague demasiado,negativo
805,"Tenía muchas esperanzas para este lugar, ya que las hamburguesas se cocinan sobre una parrilla de carbón, pero desafortunadamente el sabor se ha desinflado.",negativo
536,"Si hubiera cero estrellas, le daría cero estrellas.",negativo
178,"No es un sitio semanal, pero definitivamente es un lugar al que volver de vez en cuando.",positivo
367,Volvería de nuevo si tuviera un antojo de sushi en Las Vegas.,positivo
473,El horrible diálogo y la exageración irremediable de todos los que reciben disparos rematan una verdadera pérdida de espacio y tiempo.,negativo
626,"No cometa el mismo error que yo y, por favor, no compre este teléfono.",negativo
347,Buena calidad de audio.,positivo
149,La única forma posible de redimir esta película sería como el forraje MST3K.,negativo
255,Mala calidad y servicio.,negativo
456,"La comida era muy buena y disfruté cada bocado, un lugar relajado y agradable para parejas, grupos familiares pequeños, etc.",positivo
239,"Ni siquiera se puede decir si tienen talento porque no solo tienen líneas patéticas para hablar, sino que el director no les dio ninguna acción.",negativo
146,El pez está mal hecho y algunas de sus tomas submarinas se repiten mil veces en la película.,negativo
364,Damian es tan talentoso y versátil en tantas formas de escribir y retratar diferentes personajes en la pantalla.,positivo
90,"En resumen, esta fue una experiencia gastronómica en gran medida decepcionante.",negativo
24,Lo compré para mi madre y ella tuvo un problema con la batería.,negativo
570,¡Debes amar esos primeros planos de los dientes babosos y babosos!,positivo
369,Estuve buscando este auricular durante mucho tiempo y ahora que lo tengo no podría estar más feliz.,positivo
387,Este lugar merece una estrella y el 90% tiene que ver con la comida.,negativo
775,Sus margaritas congeladas son demasiado azucaradas para mi gusto.,negativo
181,He tenido este auricular bluetoooth por algún tiempo y todavía no me siento cómodo con la forma en que cabe en la oreja.,negativo
85,"Me encanta el Pho y los rollitos de primavera, oh, qué delicioso que tienes que probar.",positivo
488,"Estaba conectado a una estación de servicio, y eso rara vez es una buena señal.",negativo
251,"Oh, Dios mío, el mejor teléfono que he tenido.",positivo
739,I gran recepción todo el tiempo.,positivo
579,"Debido a que esto sucedía en cada llamada, me vi obligado a dejar de usar este auricular.",negativo
114,Buenos precios.,positivo
381,"Incluso puede tomar autorretratos con la pantalla exterior (exterior), muy buena.",positivo
958,Me gustó mucho.,positivo
846,Yo no recomendaría este lugar.,negativo
163,Evitar a toda costa!,negativo
181,También decidí no devolverlo porque nuestra camarera parecía estar a punto de sufrir un ataque al corazón.,negativo
147,"Su recepción es muy, muy pobre.",negativo
553,Supongo que tal vez fuimos en una noche de descanso pero fue vergonzoso.,negativo
551,Esta puede ser la única mala película que haya hecho.,negativo
421,No cometas el mismo error que yo.,negativo
41,No estaba interesado en lo más mínimo. 0,negativo
132,Este fue un pobre remake de la boda de mis mejores amigos.,negativo
167,"El aspecto es muy nítido y la pantalla es agradable y clara, con excelentes gráficos.",positivo
907,¿Qué tan estúpido es eso?,negativo
572,Infinitamente peor.,negativo
415,Se rindió tratando de comer algo de la corteza (dientes aún doloridos).,negativo
495,El enchufe era del tamaño incorrecto.,negativo
793,"Este drama televisivo, en su mayoría de rutina, se ve impulsado por el excelente desempeño de Cole.",positivo
66,¡Siempre un buen momento en Dos Gringos!,positivo
187,"Sí, es tan malo.",negativo
803,"La actuación de todos los involucrados y eso incluye a aquellos como Shatner y Nimoy es malo, se lava y hace que parezcan tan viejos como se ven en la vida real, los efectos especiales son pegajosos, como cuando Spock tiene que rescatar a Kirk en un jet pack cuando cae. desde una montaña.",negativo
952,"El ambiente aquí no se sentía como un buffet, sino más bien como un jardín interior para el té y las galletas.",negativo
656,"Finalmente, después de tres o cuatro veces, el resorte del pestillo se rompió y ya no pude usarlo más en la visera.",negativo
897,No compres este producto - ¡Falla !.,negativo
548,El estuche es una pieza de plástico endeble y no tiene protección frontal ni lateral alguna.,negativo
84,"Además, tenía un buen ritmo y se adaptaba a su tiempo de ejecución relativamente corto.",positivo
442,Hicieron este caso demasiado pequeño y es muy difícil de instalar.,negativo
604,No se puede pedir una comida más satisfactoria.,positivo
374,"Si lo ves, probablemente deberías dejarlo en el estante.",negativo
564,"Sin embargo, Plantronincs continúa utilizando el mismo diseño de cargador defectuoso.",negativo
246,Ninguna actriz ha sido peor utilizada que June Allison en esta película.,negativo
241,"Ahora bien, este plato era bastante sabroso.",positivo
218,Las cuales son pequeñas y no valen el precio.,negativo
567,¡La secuencia de apertura de CG en el espacio parecía haberse creado en Microsoft Slideshow por el amor de Dios!,negativo
105,Así que fuimos a Tigerlilly y tuvimos una tarde fantástica!,positivo
763,Este modelo en particular no funcionaría con mi teléfono inteligente Motorola Q.,negativo
105,"Ventajas: -Buena cámara: muy buenas fotos, también tiene estilos geniales como blanco y negro, y más.",positivo
100,"Nuestro camarero fue fantástico y cuando descubrió que a la mujer le encantan los ajos asados ​​y la médula ósea, ¡agregó algo extra a nuestra comida y otra médula para llevar!",positivo
649,"Creo que todos deberían ver esta película, ya que creo que pocas personas fuera de Sudáfrica entienden su pasado y lo que se está intentando en el proceso de Verdad y Reconciliación.",positivo
467,Me impresionó profundamente el personaje que interpretó.,positivo
921,"No mucho diálogo, no mucha música, toda la película fue filmada tan elaborada y estéticamente como una escultura.",positivo
130,Este lugar es demasiado caro para comida mediocre.,negativo
235,Una de mis compras favoritas.,positivo
838,La comida es demasiado cara y las porciones son jodidamente pequeñas.,negativo
167,Así que no vayas si buscas buena comida ...,negativo
376,Retiré mi dinero y salí de allí.,negativo
102,"La actuación fue mala, los diálogos fueron extremadamente superficiales y poco sinceros.",negativo
247,"Sin embargo, me gusta verlo.",positivo
788,10/10,positivo
182,"Incluso lo diré de nuevo, esto es tortura.",negativo
357,Como siempre la tarde fue maravillosa y la comida deliciosa!,positivo
43,Solo escucho basura para audio.,negativo
863,"Solo lo he tenido durante unas semanas, pero hasta ahora, todo bien.",positivo
86,Le di un 10,positivo
641,¡No estoy comiendo aquí!,negativo
472,Gran sándwich de cerdo.,positivo
51,Él vino corriendo detrás de nosotros cuando se dio cuenta de que mi esposo había dejado sus gafas de sol sobre la mesa.,positivo
48,Este caso parece bien hecho.,positivo
735,Nada nuevo allí.,negativo
133,La gestión es grosera.,negativo
45,"A sus compañeros de reparto no les va mucho mejor, con gente como Morgan Freeman, Jonah Hill y Ed Helms simplemente malgastados. 0",negativo
827,"Además, con el presupuesto bastante modesto y el rápido tiempo de ejecución de la película, ¡hace un trabajo increíble!",positivo
721,El pollo estaba deliciosamente sazonado y tenía el pollo perfecto por fuera y el pollo húmedo por dentro.,positivo
195,Pero esta película es definitivamente una renta por debajo del promedio.,negativo
934,"Obtiene minutos adicionales para que pueda realizar la llamada y no cortarse "".",positivo
539,Ninguno de los nuevos ha funcionado bien.,negativo
776,Recomiendo encarecidamente este caso.,positivo
526,Y era demasiado caro.,negativo
3,Atado al cargador para conversaciones que duran más de 45 minutos. ¡¡¡MAYOR PROBLEMAS !!,negativo
15,Me sorprendió porque no hay signos que indiquen sólo efectivo.,negativo
15,Muy recomendable para cualquiera que tenga un teléfono azul.,positivo
344,El peor servicio al cliente.,negativo
854,"El problema es que la escritura y la dirección hacen que sea imposible establecer aquellas cosas que hacen que una película sea visible, como el personaje, la historia, el tema, etc.",negativo
526,"horrible, tuve que cambiar 3 veces.",negativo
360,El buffet es pequeño y toda la comida que ofrecían era azul.,negativo
342,Las verduras son tan frescas y la salsa se siente como auténtica tailandesa.,positivo
920,No hace falta decir que no volveré pronto.,negativo
535,"En primer lugar, hay suficientes estereotipos raciales y chistes raciales para ofender a todos.",negativo
309,¡No esperaba que esto fuera tan bueno!,positivo
544,"No, me voy a comer la papa que encontré pelos extraños en ella.",negativo
215,Yo recomendaría altamente esto.,positivo
426,"¿Me gustaría poder ingresar valores negativos, administradores?",negativo
89,El teléfono se carga super!,positivo
473,No pierdas tu tiempo aquí.,negativo
480,El teclado realmente vale la pena por su utilidad y es lo suficientemente resistente. No espero ningún problema.,positivo
479,¡Me encantó!,positivo
165,Gran valor.,positivo
154,He comprado auriculares con cable de $ 5 que suenan mejor que estos.,negativo
533,"Si te gusta la auténtica comida mexicana y quieres un montón de carnes interesantes pero deliciosas para elegir, debes probar este lugar.",positivo
119,Realmente me gustó eso.,positivo
785,Esto permite la posibilidad de doble reserva para la misma fecha y hora después de la primera.,negativo
446,"Me gusta Armand Assante y el resumen de mi compañía de cable sonaba interesante, así que lo vi dos veces y probablemente lo volveré a hacer.",positivo
547,"Estoy terriblemente decepcionado de que esta película reciba tantos premios y reconocimientos, especialmente cuando hay muchas más películas merecedoras por ahí.",negativo
107,"Amo a Lane, pero nunca la he visto en una película tan mala.",negativo
842,"Comí allí dos veces en mi última visita, y especialmente disfruté de la ensalada de salmón.",positivo
945,"El rancho de salsas de chipolte no tenía sabor, parecía delgado y aguado sin calor.",negativo
485,"Esta película fue un poco larga, pero disfruté cada minuto de ella.",positivo
966,"Cada pista ordena sentimientos, contribuyendo realmente a las escenas y personajes.",positivo
234,"Gran lugar para tomar un par de copas y ver eventos deportivos, ya que las paredes están cubiertas con televisores.",positivo
699,"Ajuste cómodo: necesita que sus auriculares estén cómodos durante al menos una hora a la vez, si no durante todo el día.",positivo
285,Gran pizza y ensaladas!,positivo
438,Solía ​​hablar sobre eso durante 1 - 1 1/2 horas y la batería se agotaría y se agotaría literalmente.,negativo
128,"Solo he tenido mi bluetooth durante unas semanas, pero realmente me gusta.",positivo
406,Definitivamente volveré pronto.,positivo
351,Funciona como un encanto ... Funciona como se anuncia.,positivo
252,Es muy atractivo y parece ser de buena calidad.,positivo
995,¡Me aburrí viendo a Jessice Lange quitarse la ropa!,negativo
885,"Cuando se abre, la conexión de la batería se interrumpe y el dispositivo se apaga.",negativo
439,"Si no estás familiarizado, échale un vistazo.",positivo
227,La gente de Otto siempre nos hace sentir muy bienvenidos y especiales.,positivo
318,Quiero mi dinero de vuelta.,negativo
956,Sólo con leer las especificaciones solo te hace decir WOW.,positivo
579,"En cuanto al servicio: soy un fanático, porque es rápido y estás siendo atendido por gente agradable.",positivo
955,La película parecía un poco lenta al principio.,negativo
782,"Lo vi como un niño en la televisión en 1973, cuando era The Stranger y me encantó.",positivo
808,2 pulgares arriba a este vendedor,positivo
386,"Después de ver esta película, quería aprender más sobre las obras de este artista.",positivo
708,"El servicio es rápido e incluso los pedidos ""para llevar"" son como nos gusta.",positivo
543,No intentaré volver allí aunque esté vacío.,negativo
148,"La actuación es terrible, y la escritura es peor.",negativo
596,Pedazo de basura.,negativo
460,Batería BT50 basura.,negativo
762,Justo lo que quería.,positivo
999,"En general, es un insulto a la inteligencia de uno y una enorme pérdida de dinero.",negativo
96,"Si planeas usar esto en un auto, olvídalo.",negativo
657,"Eso solo SCREAMS ""LEGIT"" en mi libro ... algo que también es bastante raro aquí en Las Vegas.",positivo
982,"Es una película triste, pero muy buena.",positivo
923,Los calamares de estilo RI eran una broma.,negativo
345,Babie Bop es muy linda.,positivo
406,"Es tan estúpido tener que seguir comprando nuevos cargadores, cargadores de automóviles, soportes, auriculares y kits de auto cada vez que sale un nuevo teléfono.",negativo
968,Esta compañía me cobró una tarifa de reposición y aún no me devolvió mi reembolso.,negativo
803,"Si hay viento, es completamente inútil.",negativo
64,Me decepcionó mucho en la película. 0,negativo
909,Este es mi nuevo lugar favorito de buffet en Las Vegas.,positivo
867,"Buen caso, se siente bien en tus manos.",positivo
306,Ha estado trabajando muy bien.,positivo
837,) No pierdas tu tiempo.,negativo
114,Absolutamente genial.,positivo
350,Todo acerca de esta película es estúpido.,negativo
815,Lo comprobé en todas partes y no hay ninguna característica que sea realmente decepcionante.,negativo
706,Así que cualquier persona cerca de ti escuchará parte de tu conversación.,negativo
578,"Con la originalidad y la frescura de la primera película que ahora se gastó, este remake tuvo poco más que ofrecer.",negativo
801,Y el servicio fue muy amable.,positivo
198,El personal muy amable.,positivo
93,Los auriculares solo tocan música en un oído.,negativo
135,No podía soportar verlo por mucho tiempo por temor a perder I.Q.,negativo
428,"El uso de la cámara lenta se repite innecesariamente a lo largo de la película, pero está bien respaldado por una mala actuación (y mala es una palabra amable aquí), no hay continuidad, escenas que se lanzan sin ninguna razón, vehículos que parecían fabricados. de una caja de Corn Flakes y un estilo de dirección que limitaba con la estupidez.",negativo
522,Terminé deslizándolo en el borde de mis pantalones o bolsillos traseros.,positivo
450,"Me alegro de haber encontrado este producto en Amazon, es difícil de encontrar, no era caro.",positivo
486,No es fácil de usar.,negativo
222,"Bisque de Langosta, Brotes Bussell, Risotto, Filet TODO lo que se necesita sal y pimienta ... y por supuesto no hay ninguno en las mesas.",negativo
852,Muy sabrosa y tiene la cantidad perfecta de calor.,positivo
338,Me alegro de no haber pagado para verlo.,negativo
774,"Excelente sonido, duración de la batería y discreto para arrancar !.",positivo
704,Así que ten cuidado.,negativo
546,"La bipolaridad del matón despiadado (un minuto un asesino despiadado, al minuto siguiente un comercial de pañales de Luv) es completamente poco convincente.",negativo
104,Recibí mi motorola 375 supuestamente nuevo y aparentemente no hubo una coincidencia entre el teléfono y el cargador.,negativo
791,Una vez que llega tu comida es meh.,negativo
480,Pedimos que la cuenta se fuera sin comer y ellos tampoco trajeron eso.,negativo
207,"Probablemente hubiera sido mejor si el director no hubiera pasado la mayor parte de la película mostrando su propia obra de arte, lo que realmente no es tan notable.",negativo
371,Cayeron más que el balón.,negativo
644,"En general, una delicia!",positivo
352,Es vergonzoso,negativo
101,"Francamente, después de Cotton club y Unfaithful, fue un poco embarazoso ver a Lane y Gere en esta película, porque es MALO.",negativo
284,Cuando lo vi en el teatro pensé que iba a estar enfermo.,negativo
357,"En primer lugar, la recepción apesta, nunca he tenido más de 2 bares, nunca.",negativo
558,Todos los platos de tapas estaban deliciosos!,positivo
126,Sosa ... No me gusta este lugar por varias razones y no quiero perder el tiempo en malas críticas ... Lo dejaré así ...,negativo
497,"Encontré este movimiento hermoso, agradable y edificante.",positivo
296,Tres de las películas más visualmente atractivas que he visto.,positivo
932,WAAAAAAyyyyyyyyyy sobrevalorado es todo lo que estoy diciendo.,negativo
747,"Aailiyah era bastante buena como Akasha, en lugares atractivos (su primera escena de entrada y mini baile).",positivo
472,"La trama, tal como es, es tan derivada y predecible que el final es como un asesinato por piedad.",negativo
521,Mirar la lavadora dando vueltas no haría daño a tus ojos tanto como a este espectáculo.,negativo
862,"Los platos calientes no están calientes, los fríos están cerca de la temperatura ambiente. Vi cómo el personal preparaba la comida con BARE HANDS, sin guantes. Todo está frito en aceite.",negativo
977,":-) Oh, el cargador parece funcionar bien.",positivo
2,No sabroso y la textura era simplemente desagradable.,negativo
36,Este juego es genial. 1,positivo
262,Funciona genial.,positivo
761,Han existido durante años y tienen la más alta calidad de protector de pantalla antirreflejos que he encontrado hasta la fecha.,positivo
739,Nunca tuve nada de qué quejarme aquí.,positivo
601,Simplemente no hay excusa para algo tan mal hecho.,negativo
917,"Con suerte, el director James Cox puede convertir el corto en un largometraje con el mismo reparto, o ganarnos con una nueva película.",positivo
870,"Comencé esta revisión con dos estrellas, pero la estoy editando para darle solo una.",negativo
677,Los plátanos fueron los peores que he probado en mi vida.,negativo
938,"La carne estaba bastante seca, tuve la pechuga rebanada y tiré de cerdo.",negativo
224,Hay un horrible sonido de garrapata en el fondo de todas mis llamadas que nunca antes había experimentado.,negativo
621,NO COMPRAR NO COMPRAR SUCKS,negativo
183,Probablemente era tierra.,negativo
463,¡Decepcionado!.,negativo
469,Este fue mi primer y único buffet de Las Vegas y no me decepcionó.,positivo
690,Fue absolutamente increíble.,positivo
240,Gran decepción con la sincronización de calendario.,negativo
832,no lo compre,negativo
721,Mi teléfono no se desliza alrededor de mi auto ahora y el agarre evita que mi teléfono se deslice de mi mano.,positivo
740,Acabo de ver esta película y la recomiendo.,positivo
948,bonito cuero,positivo
423,Lo estoy usando con un iriver SPINN (con estuche) y me queda bien.,positivo
446,No volveremos,negativo
678,"Funciona bien en mi teléfono celular Motorola 325, y mucho mejor que la batería gastada.",positivo
953,Con: servicio irregular.,negativo
359,(El baño está justo al lado y muy bonito.),positivo
640,"Pero es entretenido, sin embargo.",positivo
429,"Ah sí, y la trama también fue patética.",negativo
831,Los tres se rompieron dentro de los dos meses de uso.,negativo
432,Baja calidad.,negativo
450,No creo que volveremos pronto.,negativo
555,¡Está AGRAVANDO!,negativo
382,El servicio fue brillante y definitivamente recomiendo el Halibut.,positivo
9,Me encantó el casting de Jimmy Buffet como el profesor de ciencias.,positivo
657,"Macbeth (Jason Connery) me conmovió hasta las lágrimas con su monólogo final (apagó brevemente la vela). Dio a la esfera de decadencia moral y fuerzas oscuras un rostro humano, lo que lo hace más interesante.",positivo
918,"Estoy de acuerdo con Jessica, esta película es bastante mala.",negativo
839,Recientemente probé Caballero's y he regresado cada semana desde entonces!,positivo
945,Es fácil de encender y apagar cuando está en el automóvil y los controles de volumen son bastante accesibles.,positivo
145,Los baños están limpios y el lugar en sí está bien decorado.,positivo
89,"En realidad, resultó ser bastante decente en lo que respecta a las películas de terror / suspenso de primera categoría.",positivo
719,Una película de Lassie que debería haberse puesto a dormir ... PARA SIEMPRE.,negativo
926,Pierde la conexión con el teléfono incluso cuando está a un par de pies entre los dos.,negativo
802,¿Por qué estos pequeños vegetales tristes están demasiado cocidos?,negativo
516,fue un viaje en coche para llegar allí.,negativo
281,¡Me encanta este bluetooth!,positivo
998,¡Excepcionalmente malo!,negativo
946,La brillantez de hecho.,positivo
336,Obviamente hay un problema con el adhesivo.,negativo
662,Los propietarios son muy amables y el personal es cortés.,positivo
164,"El restaurante siempre está lleno, pero nunca hay que esperar.",positivo
169,Tu cerebro intentará apagarse como parte de un impulso primordial de autoconservación.,negativo
481,"Este lugar es una joya en Las Vegas, y exactamente lo que he estado esperando encontrar en casi diez años viviendo aquí.",positivo
